"Word","AoA_test_min","LgSUBTLWF","Length","Conc.M","SemD","V.Mean.Sum","A.Mean.Sum","Interoceptive.mean","Head.mean","Mouth.mean"
"abandon",6,2.617,7,2.54,2.09,2.84,3.73,2.117647059,2.45,0.55
"abdomen",6,2.236,7,4.7,1.23,5.43,3.68,2.352941176,0.947368421,0.210526316
"abdominal",6,2.243,9,4.28,1.08,4.48,3.5,2.733333333,0.857142857,0.380952381
"abduction",10,2.269,9,3.07,1.48,2.05,5.33,2.176470588,1.952380952,1.476190476
"abide",8,2.143,5,1.68,1.93,5.52,3.26,1.1875,2.105263158,1.421052632
"abiding",12,1.415,7,2.07,1.73,5.57,3.59,1.466666667,2.388888889,0.888888889
"ability",2,2.992,7,1.81,2.06,7,4.85,2.555555556,2.727272727,1.954545455
"ablaze",2,1.342,6,3.82,1.66,5.15,6.75,0.823529412,2.277777778,0.722222222
"able",2,3.912,4,2.38,2.23,6.64,3.38,3.066666667,2.684210526,1.473684211
"abnormal",6,2.173,8,2.14,1.48,3.53,4.48,2.052631579,2.428571429,1
"abode",12,1.532,5,3.92,1.65,5.28,2.9,0.733333333,2.4375,1.3125
"abolish",6,1.398,7,2.19,1.74,3.84,4.18,1.12,2.526315789,1.105263158
"abominable",12,1.518,10,1.89,1.7,4.05,5.45,1.294117647,1.736842105,0.842105263
"abort",12,2.373,5,2.83,1.28,3.1,5.8,1.5,1.523809524,0.80952381
"abortion",8,2.568,8,3.41,1.23,2.58,5.43,2.470588235,1.761904762,0.476190476
"abrasive",12,1.38,8,3.03,1.5,4.26,6.1,0.8,1.842105263,1.947368421
"abreast",13,1.431,7,2.23,1.83,4.62,4.61,0.466666667,1.6875,1.0625
"abrupt",8,1.771,6,2.27,1.83,3.28,5.23,1.578947368,1.8,1.65
"absence",4,2.509,7,2.31,2.16,3.86,4.3,1.421052632,2.571428571,1.095238095
"absent",2,2.121,6,2.7,2.12,4.1,3.72,0.918918919,2.388888889,0.944444444
"absolute",8,2.762,8,1.81,2.11,5.43,3.48,1.625,2.526315789,1.631578947
"absolution",14,1.69,10,1.78,1.42,6.58,3.38,1.368421053,1.888888889,1.277777778
"absorb",6,2.009,6,3.11,1.96,5.5,4.27,0.916666667,2,1.380952381
"abstain",12,1.431,7,2.38,1.69,4.4,3.1,2.125,2.368421053,0.894736842
"abstinence",14,1.663,10,1.72,1.36,3.43,3.15,2.105263158,2.555555556,1.111111111
"abstract",8,2.049,8,1.45,1.66,5.25,3.96,1.052631579,3.476190476,1.476190476
"absurd",8,2.696,6,1.64,1.89,4.45,4.02,1.375,2.428571429,1.619047619
"absurdity",10,1.518,9,1.25,1.76,4.06,4.7,1.647058824,2.4,1.55
"abundance",8,1.663,9,2.21,1.84,6.67,4.72,0.411764706,3.578947368,1.105263158
"abundant",8,1.477,8,2.83,1.68,7.55,4.21,0.928571429,2.722222222,1.222222222
"abuse",6,2.719,5,2.71,1.66,1.53,6.21,2.65,3.052631579,2.736842105
"abusive",8,1.924,7,2.55,1.39,2.05,5.27,2.25,2.315789474,2.105263158
"abyss",12,1.959,5,3.07,1.65,3.9,4.85,2.066666667,2.529411765,0.764705882
"academic",10,2.378,8,2.11,1.59,6.61,3.32,0.357142857,3.421052632,1.684210526
"academy",6,2.802,7,4.29,1.61,5.32,3.77,0.444444444,2.772727273,1.181818182
"accelerate",6,1.819,10,3.48,1.84,6.1,6.04,2.473684211,1.277777778,0.722222222
"acceleration",6,1.653,12,2.97,1.44,6.19,6.73,2.117647059,2.45,0.25
"accelerator",6,1.845,11,4.32,1.21,5.63,5,1.65,1.526315789,0.368421053
"accent",6,2.794,6,3.26,1.66,6.48,4.95,0.210526316,2.65,3.25
"accept",2,3.43,6,3.03,2.08,6.39,2.8,1.764705882,2.631578947,2.052631579
"acceptable",8,2.431,10,1.93,2.08,6.59,3.65,2.418604651,2.5,1.681818182
"acceptance",8,2.209,10,2.21,1.98,6.84,4.3,2.882352941,2.842105263,1.473684211
"access",10,3.208,6,2.71,1.92,6.68,5.3,0.75,2.789473684,1.421052632
"accessible",10,1.756,10,1.8,1.94,6.68,3.2,0.578947368,3.105263158,1.105263158
"accessory",6,2.17,9,4.1,1.57,5.35,4.22,0.235294118,2.210526316,0.526315789
"accident",2,3.618,8,3.26,1.62,2.55,4.93,1.3125,2.80952381,2.380952381
"accidental",4,2.188,10,2.17,1.88,3.46,4,1.3,1.684210526,1.105263158
"acclaim",13,1.362,7,2.04,1.68,6.1,3.95,1.285714286,2.833333333,3.166666667
"accommodate",6,2.041,11,1.86,2.09,6.35,3,0.944444444,1.947368421,1.526315789
"accommodation",8,1.69,13,2.96,1.57,6.76,4.72,1.05,2.444444444,1.722222222
"accompany",6,2.386,9,3.07,2.05,5.47,3.85,1.176470588,1.80952381,0.619047619
"accomplice",8,2.337,10,3.34,1.51,4.6,4.5,1.111111111,2.45,1.2
"accomplish",6,2.476,10,2.33,1.88,7.45,5.16,2.333333333,2.411764706,1.588235294
"accomplishment",6,1.987,14,2.5,1.83,8.05,4.96,2.555555556,3.272727273,1.227272727
"accord",10,1.924,6,1.57,1.88,6.38,2.85,0.733333333,2.666666667,1.333333333
"accordion",4,1.833,9,4.86,1.19,5.26,2.94,0.894736842,2.4,0.4
"account",2,3.358,7,3.08,2.11,5.39,3.76,0.829327826,3.5,1.277777778
"accountability",12,1.398,14,1.55,1.32,4.89,3.7,1.9,3.263157895,1.578947368
"accountable",6,1.863,11,2.21,1.52,5.7,4.2,1.466666667,2.4,1.55
"accountant",4,2.5,10,4.41,1.49,5.19,3.81,0.111111111,2.368421053,1.473684211
"accounting",6,2.364,10,3.27,1.33,4.42,3.68,0.545454545,3.15,1.3
"accumulate",6,1.477,10,3,1.87,6.33,2.73,0.333333333,2.5,1
"accuracy",8,1.887,8,1.85,1.88,6.32,3.33,0.5,3.529411765,1.647058824
"accurate",8,2.603,8,1.9,2.05,7.42,4.35,1.135135135,2.897435897,1.307692308
"accusation",8,2.158,10,2.38,1.77,3.38,5.48,0.625,3,3.473684211
"accuse",4,2.464,6,2.25,1.87,2.68,5.32,1.235294118,2.904761905,2.952380952
"ace",6,2.876,3,3.92,1.26,6.37,4.64,0.375,1.35,0.6
"ache",2,2.107,4,3.43,1.4,3.27,4.3,4.375,3.210526316,2.578947368
